OFFLINESHOP_TOOLTIP_RIGHT_CLICK_FOR_SALE	|Eemoji/key_rclick|e sale item
OFFLINESHOP_ATTR_APPLY_POISON_PCT	Chance to Poison
OFFLINESHOP_ATTR_APPLY_STUN_PCT	Chance to Stun
OFFLINESHOP_ATTR_APPLY_SLOW_PCT	Chance to Slow
OFFLINESHOP_ATTR_APPLY_CRITICAL_PCT	Chance to perform Critical Hit
OFFLINESHOP_ATTR_APPLY_PENETRATE_PCT	Chance to perform Penetral Hit
OFFLINESHOP_ATTR_APPLY_ATTBONUS_WARRIOR	Strong against Warrior
OFFLINESHOP_ATTR_APPLY_ATTBONUS_ASSASSIN	Strong against Assassin
OFFLINESHOP_ATTR_APPLY_ATTBONUS_SURA	Strong against Sura
OFFLINESHOP_ATTR_APPLY_ATTBONUS_SHAMAN	Strong against Shaman
OFFLINESHOP_ATTR_APPLY_ATTBONUS_MONSTER	Strong against Monster
OFFLINESHOP_ATTR_APPLY_ATTBONUS_HUMAN	Strong against Human
OFFLINESHOP_ATTR_APPLY_ATTBONUS_ANIMAL	Strong against Animal
OFFLINESHOP_ATTR_APPLY_ATTBONUS_ORC	Strong against Orc
OFFLINESHOP_ATTR_APPLY_ATTBONUS_MILGYO	Strong against Esoteric
OFFLINESHOP_ATTR_APPLY_ATTBONUS_UNDEAD	Strong against Zombie
OFFLINESHOP_ATTR_APPLY_ATTBONUS_DEVIL	Strong against Devil
OFFLINESHOP_ATTR_APPLY_STEAL_HP	Chance to absorb HP
OFFLINESHOP_ATTR_APPLY_STEAL_SP	Chance to absorb SP
OFFLINESHOP_ATTR_APPLY_MANA_BURN_PCT	Chance to steal SP
OFFLINESHOP_ATTR_APPLY_DAMAGE_SP_RECOVER	Chance to Preserve SP
OFFLINESHOP_ATTR_APPLY_BLOCK	Chance to Block damage
OFFLINESHOP_ATTR_APPLY_DODGE	Chance to Dodge damage
OFFLINESHOP_ATTR_APPLY_RESIST_SWORD	Sword Resistance
OFFLINESHOP_ATTR_APPLY_RESIST_TWOHAND	Two Hand Resistance
OFFLINESHOP_ATTR_APPLY_RESIST_DAGGER	Dagger Resistance
OFFLINESHOP_ATTR_APPLY_RESIST_BELL	Bell Resistance
OFFLINESHOP_ATTR_APPLY_RESIST_FAN	Fan Resistance
OFFLINESHOP_ATTR_RESIST_BOW	Bow Resistance
OFFLINESHOP_ATTR_RESIST_FIRE	Fire Resistance
OFFLINESHOP_ATTR_RESIST_ELEC	Electric Resistance
OFFLINESHOP_ATTR_RESIST_MAGIC	Magic Resistance
OFFLINESHOP_ATTR_APPLY_RESIST_WIND	Wind Resistance
OFFLINESHOP_ATTR_APPLY_REFLECT_MELEE	Chance to reflect Physical damage
OFFLINESHOP_ATTR_APPLY_POISON_REDUCE	Poison Resistance
OFFLINESHOP_ATTR_APPLY_EXP_DOUBLE_BONUS	Chance to get Exp Bonus
OFFLINESHOP_ATTR_APPLY_GOLD_DOUBLE_BONUS	Chance to drop Yang
OFFLINESHOP_ATTR_APPLY_ITEM_DROP_BONUS	Chance to drop twice as many objects
OFFLINESHOP_ATTR_APPLY_IMMUNE_STUN	Immune from Stun
OFFLINESHOP_ATTR_APPLY_IMMUNE_SLOW	Immune from Slow
OFFLINESHOP_ATTR_APPLY_IMMUNE_FALL	Immune from Fall
OFFLINESHOP_ATTR_DEF_GRADE	Defense
OFFLINESHOP_ATTR_ATT_GRADE	Attack
OFFLINESHOP_ATTR_MAGIC_ATT_GRADE	Magic Attack
OFFLINESHOP_ATTR_MAGIC_DEF_GRADE	Magic Defense
OFFLINESHOP_ATTR_SKILL_DAMAGE_BONUS	Skill Damage
OFFLINESHOP_ATTR_NORMAL_HIT_DAMAGE_BONUS	Hit Damage
OFFLINESHOP_ATTR_SKILL_DEFEND_BONUS	Skill Resistance
OFFLINESHOP_ATTR_NORMAL_HIT_DEFEND_BONUS	Hit Resistance
OFFLINESHOP_ATTR_MAGIC_ATTBONUS_PER	Magic attack
OFFLINESHOP_ATTR_MELEE_MAGIC_ATTBONUS_PER	Magic/melee attack
OFFLINESHOP_ATTR_RESIST_ICE	Ice Resistance
OFFLINESHOP_ATTR_RESIST_EARTH	Earth Resistance
OFFLINESHOP_ATTR_RESIST_DARK	Dark Resistance
OFFLINESHOP_ATTR_ANTI_CRITICAL_PCT	Anti Critical
OFFLINESHOP_ATTR_ANTI_PENETRATE_PCT	Anti Penetral
OFFLINESHOP_ATTR_APPLY_BLEEDING_PCT	Chance to Bleeding
OFFLINESHOP_ATTR_APPLY_BLEEDING_REDUCE	Bleeding Resistance
OFFLINESHOP_ATTR_APPLY_ATTBONUS_WOLFMAN	Strong against Wolfman
OFFLINESHOP_ATTR_RESIST_MAGIC_REDUCTION	Anti Magic Resistance
OFFLINESHOP_NO_FILTER_ACTIVE_MESSAGE	You have to enable at least 1 fitler setting
OFFLINESHOP_SEARCH_FILTER_NAME_NOSET	You have to set the item name to use the filter by name
OFFLINESHOP_SEARCH_PRICE_ERROR	You have inserted an invalid price range.
OFFLINESHOP_MY_PATTERN_INSERT_NAME_DESC	Enter a name to assign to the pattern
OFFLINESHOP_MY_PATTERN_INSERT_NAME_TITLE	Save Pattern
OFFLINESHOP_PATTERN_SAVED_SUCCESS	New Pattern inserted to the Saved Patterns.
OFFLINESHOP_SAFEBOX_TOOLTIP_GETITEM	|Eemoji/key_lclick|e Take item
OFFLINESHOP_SHOP_SAFEBOX_QUESTION_GET_ITEM_COUNT	Do you want to take item %s x %d from safebox?
OFFLINESHOP_SHOP_SAFEBOX_QUESTION_GET_ITEM	Do you want to take item %s from safebox?
OFFLINESHOP_SHOP_SAFEBOX_ACCEPT	Accept
OFFLINESHOP_SAFEBOX_CANCEL	Cancel
OFFLINESHOP_SAFEBOX_GET_VALUTE_TITLE	Withdraw
OFFLINESHOP_MAKE_OFFER_TITLE	Private Offer
OFFLINESHOP_CANCEL_OFFER_QUESTION_ACCEPT	Confirm
OFFLINESHOP_CANCEL_OFFER_QUESTION_CANCEL	Cancel
OFFLINESHOP_CANCEL_OFFER_QUESTION	Do you want to cancel the offer?
OFFLINESHOP_MY_OFFER_OFFER_TEXT	Offer : %s
OFFLINESHOP_ACCEPT_OFFER_QUESTION	Do you want accept the offer?
OFFLINESHOP_ACCEPT_OFFER_QUESTION_ACCEPT	Yes
OFFLINESHOP_ACCEPT_OFFER_QUESTION_CANCEL	No
OFFLINESHOP_CREATE_AUCTION_INVALID_PRICE	You have inserted a invalid starting price.
OFFLINESHOP_AUCTION_MIN_RAISE	The minimum offer is %s yang.
OFFLINESHOP_AUCTION_MAKE_OFFER	Auction Offer
OFFLINESHOP_SCRIPTFILE_CREATE_TEXT	Create
OFFLINESHOP_SCRIPTFILE_CLOSE_SHOP_TEXT	Close Shop
OFFLINESHOP_CANCEL_OFFER_QUESTION	Do you want deny the offer?
OFFLINESHOP_CANCEL_OFFER_QUESTION_ACCEPT	Yes
OFFLINESHOP_CANCEL_OFFER_QUESTION_CANCEL	No
OFFLINESHOP_MYOFFERS_CANCEL_BUTTON_TEXT	Cancel
OFFLINESHOP_SCRIPTFILE_RESET_FILTER_TEXT	Reset All
OFFLINESHOP_SCRIPTFILE_START_SEARCH_TEXT	Start Search
OFFLINESHOP_SCRIPTFILE_SAVE_AS_PATTERN_TEXT	Save as Pattern
OFFLINESHOP_WEAR_WARRIOR	Warrior
OFFLINESHOP_WEAR_ASSASSIN	Ninja
OFFLINESHOP_WEAR_SURA	Sura
OFFLINESHOP_WEAR_SHAMAN	Shaman
OFFLINESHOP_WEAR_WOLFMAN	Wolfman
OFFLINESHOP_TOOLTIP_WEAR_INFO	Can use by : 
OFFLINESHOP_TOOLTIP_NAME_INFO	Item Name : 
OFFLINESHOP_TOOLTIP_PRICE_INFO	Price : 
OFFLINESHOP_TOOLTIP_LEVEL_INFO	Level : 
OFFLINESHOP_TOOLTIP_TYPE_INFO	Type : 
OFFLINESHOP_TOOLTIP_ATTR_INFO	Attributes : 
OFFLINESHOP_SEARCH_RISE_LIMIT	Item limit reached ( %d items)
OFFLINESHOP_TOOLTIP_LEFT_CLICK_MAKE_OFFER	|Eemoji/key_lclick|e make offer
OFFLINESHOP_TITLE_MYSHOP	My Shop
OFFLINESHOP_TITLE_LIST_OF_SHOPS	List of Shops
OFFLINESHOP_TITLE_SEARCH_HISTORY	Search History
OFFLINESHOP_TITLE_MY_PATTERNS	My Patterns
OFFLINESHOP_TITLE_SEARCH	Search
OFFLINESHOP_TITLE_SAFEBOX	Safebox
OFFLINESHOP_TITLE_MY_OFFERS	My Offers
OFFLINESHOP_TITLE_MY_AUCTION	My Auction
OFFLINESHOP_TITLE_AUCTION_LIST	Auction List
OFFLINESHOP_TITLE_CREATE_AUCTION	Create Auction
OFFLINESHOP_NAME_TEXT	Name:
OFFLINESHOP_DURATION_TEXT	Duration:
OFFLINESHOP_DAYS_TEXT	Days:
OFFLINESHOP_HOURS_TEXT	Hours:
OFFLINESHOP_MAX_DURATION_TEXT	Max Duration: 8 Days
OFFLINESHOP_TITLE_TEXT	Title:
OFFLINESHOP_ITEM_TEXT	Item:
OFFLINESHOP_OFFER_TEXT	Offer:
OFFLINESHOP_BACK_TO_LIST_TEXT	Back to the list
OFFLINESHOP_OWNER_NAME_TEXT	Owner name:
OFFLINESHOP_SHOPS_NAME_TEXT	Shop's name:
OFFLINESHOP_ITEMS_COUNT_TEXT_1	Items count:
OFFLINESHOP_DATE_TEXT	Date:
OFFLINESHOP_TIME_TEXT	Hour:
OFFLINESHOP_LAST_USE_TEXT	Last use:
OFFLINESHOP_ITEM_NAME_TEXT	Item name:
OFFLINESHOP_TYPE_TEXT	Type:
OFFLINESHOP_ATTR_TEXT	Attributes:
OFFLINESHOP_INPUT_TEXT	Input:
OFFLINESHOP_SUGGESTIONS_TEXT	Suggestions:
OFFLINESHOP_RACE_TEXT	Race:
OFFLINESHOP_PRICE_TEXT	Price:
OFFLINESHOP_BEST_OFFER_TEXT	Best Offer:
OFFLINESHOP_MIN_RAISE_TEXT	Min raise:
OFFLINESHOP_OFFER_COUNT_TEXT	Offer count:
OFFLINESHOP_STARTING_PRICE_TEXT	Starting price:
